id,name,soothing,moisturizing,skin
A000000192697,[2023어워즈/3년연속] 아누아 어성초 77 수딩 토너 350ml 어워즈 한정 기획 (본품+리필팩+진정마스크1매),0.525,0.26,0.13
A000000192752,[2023어워즈/4년연속] 라운드랩 1025 독도 토너 500ml 어워즈 한정기획(+크림50ml+패드10매),0.7,0.655,0.3
A000000155253,[2023어워즈] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),1.115,0.685,0.135
A000000192545,브링그린 티트리시카  수딩 토너 500ml 어워즈 한정기획(+크림20ml+징크테카세럼 7ml),0.48,0.305,0.065
A000000174370,바이오더마 하이드라비오 토너 500ml,0.315,0.715,0.19
A000000191246,[탄력광채] 넘버즈인 3번 결광가득 에센스 토너 200ml 기획 (+50ml 증정),0.255,0.51,0.125
A000000170266,[단독기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),0.271356783919598,0.4371859296482412,0.10050251256281408
A000000189455,[리뉴업]더랩바이블랑두 저분자 히알루론산 딥 토너 리필 캔 기획 (500ml + 238ml),0.265,0.69,0.1
A000000154177,[증량] 닥터지 레드 블레미쉬 클리어 수딩 토너 500ml,0.61,0.56,0.165
A000000132162,라운드랩 1025 독도 토너 (본품200ml+50ml 추가 증정),0.42,0.38,0.19
A000000141881,이즈앤트리 히아루론산 토너 더블 기획 (400ml+400ml),0.33,0.655,0.11
A000000177757,[피지진정] 넘버즈인 1번 진정 맑게담은 청초토너 300ml 기획 (+1번 패드 10매 증정),0.81,0.565,0.14
A000000161355,[화해1위] 에스네이처 아쿠아 오아시스 토너 300ml 기획(+ 수분크림30ml증정),0.235,0.535,0.075
A000000179724,성분에디터 그린토마토 포어 리프팅 앰플 토너 350ml+100ml 기획,0.205,0.185,0.315
A000000166383,김정문알로에 큐어 워터 젤리 토너 기획 세트 500ml+50ml[대용량기획],0.435,0.275,0.115
A000000137180,[대용량] 라운드랩 1025 독도 토너 (본품500ml+100ml 추가 증정),0.7638190954773869,0.6884422110552764,0.2864321608040201
A000000157178,라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),0.485,0.94,0.055
A000000166435,아벤느 젠틀 토닝 로션 200ml 듀오 기획,0.87,0.5,0.295
A000000188874,[단독기획]웰라쥬 리얼 히알루로닉 100 토너 300ml 기획 (+화장솜 60매),0.26,0.83,0.19
A000000182646,[단독기획] 라네즈 크림스킨 170ml 기획 (+50ml),0.24,1.07,0.055
A000000159263,[단독기획] 마몽드 로즈워터 토너 250ml 기획 (화장솜+50ML 추가증정),0.455,0.44,0.225
A000000178002,에스트라 에이시카365 수분진정결토너 250ml 기획(+토너 50ml 증정),0.57,0.56,0.265
A000000148285,[회사원A pick]마녀공장 비피다 바이옴 앰플 토너 400ml+100ml 기획,0.64,0.79,0.39
A000000147313,리얼베리어 익스트림 에센스 토너 300ml,0.225,0.665,0.12
A000000139348,라로슈포제 똘러리앙 울트라 로션 400ML,0.375,0.505,0.035
A000000147339,[찐진정 토너] 아누아 어성초 77% 토너 350ml,1.135,0.665,0.195
A000000143458,마녀공장 갈락 클리어스킨 투명광채 토너 210ml,0.63,0.54,0.49
A000000182583,[엔하이픈/제이크Pick]닥터자르트 시카페어 인텐시브 수딩 리페어 트리트먼트 로션 기획(150ml+30ml*2ea),0.35,0.285,0.055
A000000116659,유리아쥬 제모스 토너 500ml,0.34,0.835,0.2
A000000182787,파티온 노스카나인 트러블 클리어 토너 200ml,0.82,0.535,0.38
A000000193236,헤이네이처 어성초 스킨 토너 150ml 기획(+카밍 토너패드 5매),1.07,0.615,0.19
A000000185109,브링그린 티트리시카수딩토너 250mL_NEW,0.505,0.365,0.075
A000000149122,바버501 애프터 쉐이브 165ml 2종 택1,0.23,0.115,0.02
A000000104167,크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2 200ml,0.2717948717948718,0.20512820512820512,0.3230769230769231
